text,label
eksik ürün ürün elime 24 adet değil 6 adet ulaştı bugün iade talebi oluşturdum yarın kargoya vereceğim,0
çok kaliteli bir ürün ürünü arkadaşıma doğum gününde hediye aldım çok güzel bir tavla oynamaya kıyamıyor şimdi ürünün kalitesi çok iyi pulları falan da gayet iyi i̇lk açıldığında ağacımsı koku veriyor ancak sonra geçiti tabiki kendi evinize de rahatlıkla alabilirsiniz tavsiye ederim,2
kalitesiz polar kalitesiz ve ince ayrıca resimdeki gibi büyük değil,0
çok iyi değildi diğer kitaplarına nazaran konu olarak biraz basit geldi en çok kitabın sonu hoşuma gitti ayrıca kitapta çok fazla yazım yanlışı vardı ve koridora hiç yakıştıramadım bunu,2
fena değil bir ay kadar kullandım gayet kullanışlı bir telefon üründen mennun kaldım tavsiye edebilirim tuşlar egonomik fiyatı biraz pahalı geldi tercih edilebilir,1
dört yıldız fiyata göre epey iyi,2
prıma guvenilir çünkü bütün beez markalarına guvenemıyoruz ama prima hem kaliteli hem bebegım için rahat hangi anne ıstemez ki,2
bir yıldız kutusu gelmedi kalite olarakta diğer aldigimiz urunlerden kötü tavsiye etmiyorum kesinlikle,0
mükemmel tek kelimeyle mükemmel diyorum kara kış için,2
neden prima cunku diger bezlere oranla daha saglikli daha kaliteli ve sizdirma yapmiyor,2
üç yıldız kumaşı ince idare eder derecede iş görür,1
bir yıldız daha iki hafta olmadı tüylenme yaptı oysa ki çok beğenmiştim ama istediğim gibi olmadı verdiğim paraya yazık,0
bir yıldız kapaksız,0
süper bir mağza kaliteli ürün ve çok şık tam istediğim gibi,2
fena değil fiyata göre ürün iyi bir kapıda menteşe için delik eksik yapmışlar bunun yüzünden çok uğraştık çekmeceler resimdeki gibi değil sadece 1 çekmece kolu var ve çekmeceler çok küçük kargo hızlı,1
rezalet tavsiye etmiyorum kalitesiz çok ince,0
bir yıldız en özel günümde beni en mutlu eden marka diyebilirim sanki hiç yok muş gibi ve uzun süre emici özelliği ile herkese tavsiye edebiliirm,0
3 yıldız ızgaraya tutturulan yerin dış plastiği çıkıyor içindeki tele yapıştırılmış,1
teşekkürler 102 ekran tv için aldım çok memnun kaldım tavsiye ederim,2
ürün hiç beğenmedim tavsiye etmem çok kalitesiz,0
iyi başlıklar epey uzun süre kullanılabiliyor ancak floss action başlığı kadar iyi olmadıklarını düşünüyorum fiyat farkı da bundan olsa gerek orta sertlikte orta kalitede bir başlık arayanlar için uygundur,1
üç yıldız paketleme ve gönderi gayet güzel gönderdikleri ıslak mendil bir işe yaramıyor fakat anne sütünü ufak torbalarda tek içimlik dondurmak istiyorsanız ürün ideal,1
aşırı ısınıyor telefonu alalı yaklaşık bir hafta oldu performansı yüksek ve kullanışlı fakat uygulama yüklerken indirme bekleniyor deyip yüklenmiyorsosyal medyada zaman harcarsınız ve oyun oynarsanızçok fazla ısınma yapıyor bilginize,2
tadı kötü sadece çay ve yemek suyuna kullanıyoruz içmek için tadı kötü,0
güzel kitap kitabı birkaç hafta önce bitirdim kitap güzelbiraz karışık ben bazı kısımlarını anlamadımama aksiyon gizem bilim kurgu isteyenler okusun,2
vasat vasat,0
üç yıldız ürünü yoruma göre aldım fakat kesinlikle o kadar kaliteli bir ürün değil daha kullanmadan lifler dökülmeye başladı tavsiye etmem normal keseler daha kullanışlı,1
